Source,Target
109439,87502
436931,378064
436931,81
436931,14069
436931,128
436931,129
77338,68718
77338,72105
77338,862
77338,489
77338,13
249635,49017
249635,228150
249635,395991
249635,62177
249635,46529
462919,224141
462919,1574
462919,429417
462919,621
462919,13972
271718,10312
271718,376659
271718,325133
271718,510
11283,674
11283,425
11283,120
11283,675
11283,7980
227159,8067
227159,483
227159,562
227159,1571
227159,10694
82654,72190
82654,294254
82654,336843
82654,101299
82654,131631
507143,89185
507143,10625
507143,272693
507143,449176
507143,4951
342473,10545
342473,20352
342473,11224
342473,9325
353616,254470
353616,114150
353616,335797
353616,10530
353616,354912
37834,954
37834,206647
37834,207703
37834,646
37834,691
11887,10947
11887,13649
11887,308369
11887,2105
11887,449176
82693,272693
82693,109689
82693,14313
82693,417678
82693,8966
210860,281957
210860,336843
210860,101299
210860,12155
210860,671
62177,10144
62177,10882
62177,10693
62177,109445
62177,10895
413644,116711
413644,270946
413644,557
413644,10140
413644,6477
39514,254904
39514,238713
39514,954
39514,955
39514,146216
22538,359784
22538,16129
22538,9958
22538,49332
22538,42542
10193,862
10193,214756
10193,38757
10193,72105
10193,10895
50647,10654
50647,13
50647,171274
50647,86
50647,345
1593,181533
1593,105864
1593,135397
1593,351286
1593,329
324849,1924
324849,141052
324849,1452
324849,8536
324849,9531
35,13
35,122906
35,398818
35,342878
35,15789
308531,1924
308531,299536
308531,297762
308531,98566
308531,99861
8355,351286
8355,105864
8355,329
8355,88751
8355,28
423453,278927
423453,9502
423453,12
423453,920
423453,260514
253344,94666
253344,26976
252838,6557
252838,712
252838,193893
252838,50124
252838,2959
318846,106646
318846,10673
318846,769
318846,324786
318846,424
136799,122
136799,109445
136799,32685
136799,35614
136799,60304
4964,8363
4964,376659
4964,271718
4964,109414
4964,325133
4327,11841
4327,24
4327,604
4327,605
4327,682
49524,44147
49524,9654
49524,75780
49524,37645
49524,210577
9522,6557
9522,252838
9522,3933
9522,50124
9522,2959
11775,390043
11775,1538
11775,787
11775,101
11775,249070
10204,707
10204,657
10204,253
10204,954
10204,646
172385,258489
172385,390062
172385,10159
172385,9352
228967,954
228967,955
228967,254904
228967,146216
228967,137094
787,249070
787,1620
787,101
787,956
787,667
171274,326285
171274,769
171274,8966
171274,222935
171274,449176
433310,41154
433310,206487
433310,105
433310,141
433310,816
10201,8467
10201,59861
10201,65851
10201,9448
10201,26275
11688,810
11688,10144
11688,10882
11688,809
11688,150689
137116,585
137116,20352
137116,150540
137116,342473
137116,8328
23631,637
23631,425
23631,745
23631,675
23631,744
463053,364689
463053,376660
463053,188222
463053,140
463053,1267
83666,15804
83666,38225
83666,19958
83666,397582
83666,224950
286532,11395
286532,13673
286532,8871
286532,10147
286532,10872
375107,9598
375107,10715
375107,11571
375107,453191
375107,10658
418827,53932
418827,345
418827,10068
418827,405817
418827,867
193893,4771
193893,3580
193893,86838
193893,9104
193893,473149
41513,299536
41513,209112
41513,284052
41513,141052
41513,49521
460793,9479
460793,8871
460793,150540
460793,812
460793,927
38055,9806
38055,809
38055,127380
38055,1927
38055,155
228161,348
228161,126889
228161,157336
228161,19995
228161,286217
489925,376660
489925,449176
489925,2105
489925,112160
489925,85350
11130,4974
11130,400617
11130,12102
11130,50546
11130,3933
810,10191
810,71805
810,10882
810,808
6957,10995
6957,112160
6957,10246
6957,2770
6957,13342
64688,193893
64688,75780
64688,90
64688,187017
64688,96
188222,862
188222,270487
188222,109414
188222,68718
188222,10521
50544,1903
50544,38
50544,862
50544,1259
1268,9479
1268,1281
1268,8871
1268,1581
1268,17979
137106,1924
137106,1452
137106,8536
137106,9531
137106,9738
35019,11283
35019,12689
35019,11631
35019,12155
35019,400579
9339,264644
9339,924
9339,1597
9339,2044
9339,82703
116149,278927
116149,10140
116149,34584
116149,281957
116149,44826
146216,954
146216,657
146216,667
146216,691
146216,137094
62764,290595
62764,58595
62764,672
62764,673
62764,674
378236,416494
378236,339988
378236,212778
378236,328387
378236,381341
95610,400579
95610,11631
95610,437557
95610,297762
95610,273153
224141,10882
224141,808
224141,809
224141,150689
224141,321612
338768,400579
338768,380
338768,302946
