-1	655522
-10	2323
-100	3
-101	5
-103	1
-1037	1
-104	1
-105	1
-106	3
-108	1
-11	1870
-110	3
-111	3
-112	3
-113	1
-114	2
-115	1
-116	2
-117	3
-118	3
-119	1
-12	1491
-120	2
-122	1
-123	1
-124	1
-125	1
-126	1
-127	1
-128	2
-129	1
-13	1213
-130	2
-132	2
-134	1
-137	1
-138	1
-139	2
-14	982
-140	1
-143	1
-145	2
-147	1
-148	1
-149	1
-15	827
-151	1
-154	1
-155	1
-157	1
-16	774
-161	1
-163	1
-164	1
-166	1
-167	2
-169	1
-1698	1
-17	637
-1729	1
-174	1
-175	2
-176	2
-177	2
-179	1
-18	503
-181	1
-184	1
-189	1
-19	466
-190	1
-197	1
-2	126926
-20	346
-202	1
-204	1
-21	320
-210	1
-214	1
-218	1
-219	1
-22	270
-221	1
-223	1
-224	1
-229	1
-23	267
-231	1
-239	1
-24	220
-245	1
-25	209
-258	1
-26	165
-27	148
-28	153
-285	1
-29	121
-3	48055
-30	117
-31	91
-32	81
-321	1
-33	80
-34	64
-342	1
-35	67
-350	1
-355	1
-36	65
-37	65
-38	49
-385	1
-386	1
-39	50
-392	1
-4	23409
-40	40
-41	45
-42	34
-43	24
-430	1
-44	38
-45	25
-455	1
-46	23
-47	29
-48	18
-49	19
-5	13270
-50	17
-51	21
-52	25
-53	13
-54	15
-540	1
-55	9
-56	12
-57	10
-58	11
-59	11
-6	8438
-60	8
-603	1
-61	7
-62	11
-63	6
-64	8
-65	8
-66	8
-67	2
-68	4
-69	7
-7	5694
-70	6
-71	6
-72	1
-73	7
-74	5
-75	3
-76	5
-77	4
-78	5
-79	1
-8	4163
-80	6
-81	2
-82	5
-83	5
-84	5
-85	3
-86	3
-87	1
-88	4
-890	1
-9	3113
-90	1
-91	4
-92	3
-93	4
-94	2
-96	2
-97	1
-98	3
-99	1
0	111611
1	43029
10	1479
100	21
1001	2
101	26
1010	2
1016	1
1017	1
102	34
1025	1
1026	1
103	18
10399	1
104	19
1043	1
1046	1
1049	1
105	24
1053	1
1056	1
1058	1
1059	1
106	23
1060	1
1062	1
1066	1
107	26
1073	1
1076	1
108	22
1083	1
1086	1
1089	1
109	25
1093	1
1095	1
11	1214
110	20
1106	1
1108	2
111	22
11107	1
112	18
1126	1
113	14
1138	1
114	20
1143	1
1147	1
115	19
1154	1
116	16
1161	1
1164	1
117	21
1177	1
1178	1
118	19
1182	2
1188	1
119	19
1195	1
1198	1
12	1027
120	19
121	15
1215	1
122	16
1220	1
1229	1
123	16
1231	1
1239	1
124	18
125	13
1258	2
1259	1
126	15
1266	1
1267	1
127	8
1279	1
128	18
129	17
13	907
130	9
1304	1
131	12
132	20
133	15
134	22
135	16
1352	1
136	12
1361	1
137	12
138	19
1387	1
139	16
1390	1
14	780
